domain,method,uri,name,action,middleware
,PATCH,admin/workforce/my-leave/{employeeLeaveRequest}/cancel,admin.workforce.leave.cancel,App\Http\Controllers\Admin\LeaveController@cancelLeave,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
,GET|HEAD,admin/workforce/my-payslips,admin.workforce.payroll.my-payslips,App\Http\Controllers\Admin\PayrollController@myPayslips,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.self
,GET|HEAD,admin/workforce/my-payslips/{payrollEntry},admin.workforce.payroll.my-payslip,App\Http\Controllers\Admin\PayrollController@myPayslip,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.self
,GET|HEAD,admin/workforce/my-schedule,admin.workforce.my-schedule,App\Http\Controllers\Admin\WorkShiftController@mySchedule,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
,GET|HEAD,admin/workforce/payroll,admin.workforce.payroll.index,App\Http\Controllers\Admin\PayrollController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.view
,DELETE,admin/workforce/payroll/adjustments/{payrollAdjustment},admin.workforce.payroll.adjustments.destroy,App\Http\Controllers\Admin\PayrollController@removeAdjustment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.manage
,GET|HEAD,admin/workforce/payroll/compensation,admin.workforce.payroll.compensation.index,App\Http\Controllers\Admin\CompensationController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.view
,PUT,admin/workforce/payroll/compensation/{employeeProfile},admin.workforce.payroll.compensation.update,App\Http\Controllers\Admin\CompensationController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.manage
,GET|HEAD,admin/workforce/payroll/compensation/{employeeProfile}/edit,admin.workforce.payroll.compensation.edit,App\Http\Controllers\Admin\CompensationController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.manage
,GET|HEAD,admin/workforce/payroll/entries/{payrollEntry},admin.workforce.payroll.entries.show,App\Http\Controllers\Admin\PayrollController@showEntry,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.view
,POST,admin/workforce/payroll/entries/{payrollEntry}/adjustments,admin.workforce.payroll.adjustments.store,App\Http\Controllers\Admin\PayrollController@addAdjustment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.manage
,POST,admin/workforce/payroll/periods,admin.workforce.payroll.periods.store,App\Http\Controllers\Admin\PayrollController@storePeriod,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.manage
,POST,admin/workforce/payroll/periods/{payrollPeriod}/generate,admin.workforce.payroll.periods.generate,App\Http\Controllers\Admin\PayrollController@generate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.manage
,GET|HEAD,admin/workforce/payroll/runs/{payrollRun},admin.workforce.payroll.runs.show,App\Http\Controllers\Admin\PayrollController@showRun,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.view
,PATCH,admin/workforce/payroll/runs/{payrollRun}/approve,admin.workforce.payroll.runs.approve,App\Http\Controllers\Admin\PayrollController@approve,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.manage
,PATCH,admin/workforce/payroll/runs/{payrollRun}/paid,admin.workforce.payroll.runs.paid,App\Http\Controllers\Admin\PayrollController@markPaid,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.manage
,GET|HEAD,admin/workforce/schedule,admin.workforce.schedule.index,App\Http\Controllers\Admin\WorkShiftController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.view
,POST,admin/workforce/schedule,admin.workforce.schedule.store,App\Http\Controllers\Admin\WorkShiftController@store,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,GET|HEAD,admin/workforce/schedule/create,admin.workforce.schedule.create,App\Http\Controllers\Admin\WorkShiftController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,PUT,admin/workforce/schedule/{employeeWorkShift},admin.workforce.schedule.update,App\Http\Controllers\Admin\WorkShiftController@update,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,PATCH,admin/workforce/schedule/{employeeWorkShift}/cancel,admin.workforce.schedule.cancel,App\Http\Controllers\Admin\WorkShiftController@cancel,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,GET|HEAD,admin/workforce/schedule/{employeeWorkShift}/edit,admin.workforce.schedule.edit,App\Http\Controllers\Admin\WorkShiftController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
,GET|HEAD,admin/workforce/time-clock,admin.workforce.time-clock,App\Http\Controllers\Admin\AttendanceController@timeClock,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
,POST,admin/workforce/time-clock/break/end,admin.workforce.break-end,App\Http\Controllers\Admin\AttendanceController@endBreak,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
,POST,admin/workforce/time-clock/break/start,admin.workforce.break-start,App\Http\Controllers\Admin\AttendanceController@startBreak,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
,POST,admin/workforce/time-clock/in,admin.workforce.clock-in,App\Http\Controllers\Admin\AttendanceController@clockIn,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
,POST,admin/workforce/time-clock/out,admin.workforce.clock-out,App\Http\Controllers\Admin\AttendanceController@clockOut,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
,GET|HEAD,admin/workforce/time-clock/sessions/{employeeAttendanceSession}/correction,admin.workforce.corrections.create,App\Http\Controllers\Admin\AttendanceCorrectionController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
,POST,admin/workforce/time-clock/sessions/{employeeAttendanceSession}/correction,admin.workforce.corrections.store,App\Http\Controllers\Admin\AttendanceCorrectionController@store,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
,POST,api/internal/deploy-center/execute,,App\Http\Controllers\Admin\DeployCenterExecutorController@execute,api
,GET|HEAD,api/internal/deploy-center/status,,App\Http\Controllers\Admin\DeployCenterExecutorController@status,api
,GET|HEAD,api/ping,,Closure,api
,GET|HEAD,api/user,,Closure,api | App\Http\Middleware\Authenticate:sanctum
,GET|HEAD,branding-media/{path},branding.media,Closure,web
,GET|HEAD,cart,cart.index,App\Http\Controllers\Frontend\CartController@index,web
,DELETE,cart/coupon,cart.coupon.remove,App\Http\Controllers\Frontend\CartController@removeCoupon,web
,POST,cart/coupon,cart.coupon.apply,App\Http\Controllers\Frontend\CartController@applyCoupon,web
,DELETE,cart/items/{cartItem},cart.destroy,App\Http\Controllers\Frontend\CartController@destroy,web
,PATCH,cart/items/{cartItem},cart.update,App\Http\Controllers\Frontend\CartController@update,web
,POST,cart/{product},cart.store,App\Http\Controllers\Frontend\CartController@store,web
,POST,cart/{product}/bundle,cart.bundle.store,App\Http\Controllers\Frontend\CartController@storeBundle,web
,GET|HEAD,category/{id},category.products,App\Http\Controllers\Frontend\FrontendController@showCategoryProducts,web
,GET|HEAD,checkout,checkout.index,App\Http\Controllers\Frontend\CheckoutController@index,web | App\Http\Middleware\Authenticate
,POST,checkout,checkout.store,App\Http\Controllers\Frontend\CheckoutController@store,web | App\Http\Middleware\Authenticate
,POST,checkout/shipping-quote,checkout.shipping-quote,App\Http\Controllers\Frontend\CheckoutController@shippingQuote,web | App\Http\Middleware\Authenticate
,GET|HEAD,contact,frontend.contact,App\Http\Controllers\Frontend\ContentPageController@contact,web
,GET|HEAD,home,home,App\Http\Controllers\HomeController@index,web | App\Http\Middleware\Authenticate
,GET|HEAD,livewire-012c1575/css/{component}.css,,Closure,
,GET|HEAD,livewire-012c1575/css/{component}.global.css,,Closure,
,GET|HEAD,livewire-012c1575/js/{component}.js,,Closure,
,GET|HEAD,livewire-012c1575/livewire.csp.min.js.map,,Livewire\Mechanisms\FrontendAssets\FrontendAssets@cspMaps,
,GET|HEAD,livewire-012c1575/livewire.min.js,,Livewire\Mechanisms\FrontendAssets\FrontendAssets@returnJavaScriptAsFile,
,GET|HEAD,livewire-012c1575/livewire.min.js.map,,Livewire\Mechanisms\FrontendAssets\FrontendAssets@maps,
,GET|HEAD,livewire-012c1575/preview-file/{filename},livewire.preview-file,Livewire\Features\SupportFileUploads\FilePreviewController@handle,web
,POST,livewire-012c1575/update,default-livewire.update,Livewire\Mechanisms\HandleRequests\HandleRequests@handleUpdate,web | Livewire\Mechanisms\HandleRequests\RequireLivewireHeaders
,POST,livewire-012c1575/upload-file,livewire.upload-file,Livewire\Features\SupportFileUploads\FileUploadController@handle,"web | Illuminate\Routing\Middleware\ThrottleRequests:60,1"
,GET|HEAD,locale/{locale},locale.switch,Closure,web
,GET|HEAD,login,login,App\Http\Controllers\Auth\LoginController@showLoginForm,web | App\Http\Middleware\RedirectIfAuthenticated
,POST,login,,App\Http\Controllers\Auth\LoginController@login,web | App\Http\Middleware\RedirectIfAuthenticated
,POST,logout,logout,App\Http\Controllers\Auth\LoginController@logout,web | App\Http\Middleware\Authenticate
,GET|HEAD,notifications,notifications.index,App\Http\Controllers\Frontend\NotificationController@index,web | App\Http\Middleware\Authenticate
,PATCH,notifications/read-all,notifications.read-all,App\Http\Controllers\Frontend\NotificationController@markAllRead,web | App\Http\Middleware\Authenticate
,PATCH,notifications/{notification}/read,notifications.read,App\Http\Controllers\Frontend\NotificationController@markRead,web | App\Http\Middleware\Authenticate
,GET|HEAD,order-success/{order},orders.success,App\Http\Controllers\Frontend\CheckoutController@success,web | App\Http\Middleware\Authenticate
,GET|HEAD,orders,orders.index,App\Http\Controllers\Frontend\CheckoutController@orders,web | App\Http\Middleware\Authenticate
,GET|HEAD,orders/{order},orders.show,App\Http\Controllers\Frontend\CheckoutController@showOrder,web | App\Http\Middleware\Authenticate
,PATCH,orders/{order}/cancel,orders.cancel,App\Http\Controllers\Frontend\CheckoutController@cancelOrder,web | App\Http\Middleware\Authenticate
,GET|HEAD,orders/{order}/receipt,orders.receipt,App\Http\Controllers\Frontend\CheckoutController@receipt,web | App\Http\Middleware\Authenticate
,GET|HEAD,orders/{order}/return,returns.create,App\Http\Controllers\Frontend\ReturnController@create,web | App\Http\Middleware\Authenticate
,POST,orders/{order}/return,returns.store,App\Http\Controllers\Frontend\ReturnController@store,web | App\Http\Middleware\Authenticate
,GET|HEAD,password/confirm,password.confirm,App\Http\Controllers\Auth\ConfirmPasswordController@showConfirmForm,web | App\Http\Middleware\Authenticate
,POST,password/confirm,,App\Http\Controllers\Auth\ConfirmPasswordController@confirm,web | App\Http\Middleware\Authenticate
,POST,password/email,password.email,App\Http\Controllers\Auth\ForgotPasswordController@sendResetLinkEmail,web
,GET|HEAD,password/reset,password.request,App\Http\Controllers\Auth\ForgotPasswordController@showLinkRequestForm,web
,POST,password/reset,password.update,App\Http\Controllers\Auth\ResetPasswordController@reset,web
,GET|HEAD,password/reset/{token},password.reset,App\Http\Controllers\Auth\ResetPasswordController@showResetForm,web
,GET|POST|HEAD,payments/paymob/callback,payments.paymob.callback,App\Http\Controllers\Frontend\PaymobController@callback,web
,GET|HEAD,payments/paymob/{order}/redirect,payments.paymob.redirect,App\Http\Controllers\Frontend\PaymobController@redirect,web | App\Http\Middleware\Authenticate
,GET|HEAD,payments/paymob/{order}/result,payments.paymob.result,App\Http\Controllers\Frontend\PaymobController@result,web | App\Http\Middleware\Authenticate
,GET|HEAD,ping,,Closure,web
,GET|HEAD,privacy-policy,frontend.privacy,App\Http\Controllers\Frontend\ContentPageController@privacy,web
,GET|HEAD,products/{product:slug},frontend.products.show,App\Http\Controllers\Frontend\ProductController@show,web
,DELETE,products/{product:slug}/review,reviews.destroy,App\Http\Controllers\Frontend\ProductReviewController@destroy,web | App\Http\Middleware\Authenticate
,POST,products/{product:slug}/review,reviews.store,App\Http\Controllers\Frontend\ProductReviewController@store,web | App\Http\Middleware\Authenticate
,GET|HEAD,refund-policy,frontend.refund,App\Http\Controllers\Frontend\ContentPageController@refund,web
,GET|HEAD,register,register,App\Http\Controllers\Auth\RegisterController@showRegistrationForm,web | App\Http\Middleware\RedirectIfAuthenticated
,POST,register,,App\Http\Controllers\Auth\RegisterController@register,web | App\Http\Middleware\RedirectIfAuthenticated
,GET|HEAD,returns,returns.index,App\Http\Controllers\Frontend\ReturnController@index,web | App\Http\Middleware\Authenticate
,GET|HEAD,returns/{returnRequest},returns.show,App\Http\Controllers\Frontend\ReturnController@show,web | App\Http\Middleware\Authenticate
,PATCH,returns/{returnRequest}/cancel,returns.cancel,App\Http\Controllers\Frontend\ReturnController@cancel,web | App\Http\Middleware\Authenticate
,GET|HEAD,sanctum/csrf-cookie,sanctum.csrf-cookie,Laravel\Sanctum\Http\Controllers\CsrfCookieController@show,web
,GET|HEAD,search,frontend.search,App\Http\Controllers\Frontend\FrontendController@search,web
,GET|HEAD,shipping-policy,frontend.shipping,App\Http\Controllers\Frontend\ContentPageController@shipping,web
,GET|HEAD,support,support.index,App\Http\Controllers\Frontend\SupportController@index,web | App\Http\Middleware\Authenticate
,POST,support,support.store,App\Http\Controllers\Frontend\SupportController@store,web | App\Http\Middleware\Authenticate
,GET|HEAD,support/new,support.create,App\Http\Controllers\Frontend\SupportController@create,web | App\Http\Middleware\Authenticate
,GET|HEAD,support/{supportCase},support.show,App\Http\Controllers\Frontend\SupportController@show,web | App\Http\Middleware\Authenticate
,POST,support/{supportCase}/reply,support.reply,App\Http\Controllers\Frontend\SupportController@reply,web | App\Http\Middleware\Authenticate
,GET|HEAD,terms-and-conditions,frontend.terms,App\Http\Controllers\Frontend\ContentPageController@terms,web
